NAME,CODE,MS_FB,MS_FB_PARE,WIKIDATA
Palmers Green Ward,E05000205,country:gb/country:eng/lbo:e09000010/lbw:e05000205,country:gb/country:eng/lbo:e09000010,Q56295356
Ponders End Ward,E05000206,country:gb/country:eng/lbo:e09000010/lbw:e05000206,country:gb/country:eng/lbo:e09000010,Q56295358
Southbury Ward,E05000207,country:gb/country:eng/lbo:e09000010/lbw:e05000207,country:gb/country:eng/lbo:e09000010,Q56295361
Southgate Ward,E05000208,country:gb/country:eng/lbo:e09000010/lbw:e05000208,country:gb/country:eng/lbo:e09000010,Q56295365
Southgate Green Ward,E05000209,country:gb/country:eng/lbo:e09000010/lbw:e05000209,country:gb/country:eng/lbo:e09000010,Q56295363
Town Ward,E05000210,country:gb/country:eng/lbo:e09000010/lbw:e05000210,country:gb/country:eng/lbo:e09000010,Q56295378
Turkey Street Ward,E05000211,country:gb/country:eng/lbo:e09000010/lbw:e05000211,country:gb/country:eng/lbo:e09000010,Q56295382
Upper Edmonton Ward,E05000212,country:gb/country:eng/lbo:e09000010/lbw:e05000212,country:gb/country:eng/lbo:e09000010,Q56295384
Winchmore Hill Ward,E05000213,country:gb/country:eng/lbo:e09000010/lbw:e05000213,country:gb/country:eng/lbo:e09000010,Q56295387
Abbey Wood Ward,E05000214,country:gb/country:eng/lbo:e09000011/lbw:e05000214,country:gb/country:eng/lbo:e09000011,Q56295389
Blackheath Westcombe Ward,E05000215,country:gb/country:eng/lbo:e09000011/lbw:e05000215,country:gb/country:eng/lbo:e09000011,Q56295391
Charlton Ward,E05000216,country:gb/country:eng/lbo:e09000011/lbw:e05000216,country:gb/country:eng/lbo:e09000011,Q56295395
Coldharbour and New Eltham Ward,E05000217,country:gb/country:eng/lbo:e09000011/lbw:e05000217,country:gb/country:eng/lbo:e09000011,Q56295396
Eltham North Ward,E05000218,country:gb/country:eng/lbo:e09000011/lbw:e05000218,country:gb/country:eng/lbo:e09000011,Q56295400
Eltham South Ward,E05000219,country:gb/country:eng/lbo:e09000011/lbw:e05000219,country:gb/country:eng/lbo:e09000011,Q56295411
Eltham West Ward,E05000220,country:gb/country:eng/lbo:e09000011/lbw:e05000220,country:gb/country:eng/lbo:e09000011,Q56295415
Glyndon Ward,E05000221,country:gb/country:eng/lbo:e09000011/lbw:e05000221,country:gb/country:eng/lbo:e09000011,Q56295418
Greenwich West Ward,E05000222,country:gb/country:eng/lbo:e09000011/lbw:e05000222,country:gb/country:eng/lbo:e09000011,Q56295420
Kidbrooke with Hornfair Ward,E05000223,country:gb/country:eng/lbo:e09000011/lbw:e05000223,country:gb/country:eng/lbo:e09000011,Q56295423
Middle Park and Sutcliffe Ward,E05000224,country:gb/country:eng/lbo:e09000011/lbw:e05000224,country:gb/country:eng/lbo:e09000011,Q56295425
Peninsula Ward,E05000225,country:gb/country:eng/lbo:e09000011/lbw:e05000225,country:gb/country:eng/lbo:e09000011,Q56295428
Plumstead Ward,E05000226,country:gb/country:eng/lbo:e09000011/lbw:e05000226,country:gb/country:eng/lbo:e09000011,Q56295430
Shooters Hill Ward,E05000227,country:gb/country:eng/lbo:e09000011/lbw:e05000227,country:gb/country:eng/lbo:e09000011,Q56295432
Thamesmead Moorings Ward,E05000228,country:gb/country:eng/lbo:e09000011/lbw:e05000228,country:gb/country:eng/lbo:e09000011,Q56295444
Woolwich Common Ward,E05000229,country:gb/country:eng/lbo:e09000011/lbw:e05000229,country:gb/country:eng/lbo:e09000011,Q56295449
Woolwich Riverside Ward,E05000230,country:gb/country:eng/lbo:e09000011/lbw:e05000230,country:gb/country:eng/lbo:e09000011,Q56295451
Brownswood Ward,E05009367,country:gb/country:eng/lbo:e09000012/lbw:e05009367,country:gb/country:eng/lbo:e09000012,Q56219420
Cazenove Ward,E05009368,country:gb/country:eng/lbo:e09000012/lbw:e05009368,country:gb/country:eng/lbo:e09000012,Q56219344
Clissold Ward,E05009369,country:gb/country:eng/lbo:e09000012/lbw:e05009369,country:gb/country:eng/lbo:e09000012,Q56219200
Dalston Ward,E05009370,country:gb/country:eng/lbo:e09000012/lbw:e05009370,country:gb/country:eng/lbo:e09000012,Q56219172
De Beauvoir Ward,E05009371,country:gb/country:eng/lbo:e09000012/lbw:e05009371,country:gb/country:eng/lbo:e09000012,Q56295454
Hackney Central Ward,E05009372,country:gb/country:eng/lbo:e09000012/lbw:e05009372,country:gb/country:eng/lbo:e09000012,Q56295456
Hackney Downs Ward,E05009373,country:gb/country:eng/lbo:e09000012/lbw:e05009373,country:gb/country:eng/lbo:e09000012,Q56295458
Hackney Wick Ward,E05009374,country:gb/country:eng/lbo:e09000012/lbw:e05009374,country:gb/country:eng/lbo:e09000012,Q56295461
Haggerston Ward,E05009375,country:gb/country:eng/lbo:e09000012/lbw:e05009375,country:gb/country:eng/lbo:e09000012,Q56295463
Homerton Ward,E05009376,country:gb/country:eng/lbo:e09000012/lbw:e05009376,country:gb/country:eng/lbo:e09000012,Q56295465
Hoxton East & Shoreditch Ward,E05009377,country:gb/country:eng/lbo:e09000012/lbw:e05009377,country:gb/country:eng/lbo:e09000012,Q56295478
Hoxton West Ward,E05009378,country:gb/country:eng/lbo:e09000012/lbw:e05009378,country:gb/country:eng/lbo:e09000012,Q56295483
King's Park Ward,E05009379,country:gb/country:eng/lbo:e09000012/lbw:e05009379,country:gb/country:eng/lbo:e09000012,Q56295484
Lea Bridge Ward,E05009380,country:gb/country:eng/lbo:e09000012/lbw:e05009380,country:gb/country:eng/lbo:e09000012,Q56295488
London Fields Ward,E05009381,country:gb/country:eng/lbo:e09000012/lbw:e05009381,country:gb/country:eng/lbo:e09000012,Q56295490
Shacklewell Ward,E05009382,country:gb/country:eng/lbo:e09000012/lbw:e05009382,country:gb/country:eng/lbo:e09000012,Q56295492
Springfield Ward,E05009383,country:gb/country:eng/lbo:e09000012/lbw:e05009383,country:gb/country:eng/lbo:e09000012,Q56295496
Stamford Hill West Ward,E05009384,country:gb/country:eng/lbo:e09000012/lbw:e05009384,country:gb/country:eng/lbo:e09000012,Q56295498
Stoke Newington Ward,E05009385,country:gb/country:eng/lbo:e09000012/lbw:e05009385,country:gb/country:eng/lbo:e09000012,Q56295499
Victoria Ward,E05009386,country:gb/country:eng/lbo:e09000012/lbw:e05009386,country:gb/country:eng/lbo:e09000012,Q56295512
Woodberry Down Ward,E05009387,country:gb/country:eng/lbo:e09000012/lbw:e05009387,country:gb/country:eng/lbo:e09000012,Q56295515
Addison Ward,E05000250,country:gb/country:eng/lbo:e09000013/lbw:e05000250,country:gb/country:eng/lbo:e09000013,Q56295518
Askew Ward,E05000251,country:gb/country:eng/lbo:e09000013/lbw:e05000251,country:gb/country:eng/lbo:e09000013,Q56295520
Avonmore and Brook Green Ward,E05000252,country:gb/country:eng/lbo:e09000013/lbw:e05000252,country:gb/country:eng/lbo:e09000013,Q56295522
College Park and Old Oak Ward,E05000253,country:gb/country:eng/lbo:e09000013/lbw:e05000253,country:gb/country:eng/lbo:e09000013,Q56295525
Fulham Broadway Ward,E05000254,country:gb/country:eng/lbo:e09000013/lbw:e05000254,country:gb/country:eng/lbo:e09000013,Q56295529
Fulham Reach Ward,E05000255,country:gb/country:eng/lbo:e09000013/lbw:e05000255,country:gb/country:eng/lbo:e09000013,Q56295532
Hammersmith Broadway Ward,E05000256,country:gb/country:eng/lbo:e09000013/lbw:e05000256,country:gb/country:eng/lbo:e09000013,Q56295533
Munster Ward,E05000257,country:gb/country:eng/lbo:e09000013/lbw:e05000257,country:gb/country:eng/lbo:e09000013,Q56295544
North End Ward,E05000258,country:gb/country:eng/lbo:e09000013/lbw:e05000258,country:gb/country:eng/lbo:e09000013,Q56295548
Palace Riverside Ward,E05000259,country:gb/country:eng/lbo:e09000013/lbw:e05000259,country:gb/country:eng/lbo:e09000013,Q56295550
Parsons Green and Walham Ward,E05000260,country:gb/country:eng/lbo:e09000013/lbw:e05000260,country:gb/country:eng/lbo:e09000013,Q56295554
Ravenscourt Park Ward,E05000261,country:gb/country:eng/lbo:e09000013/lbw:e05000261,country:gb/country:eng/lbo:e09000013,Q7296504
Sands End Ward,E05000262,country:gb/country:eng/lbo:e09000013/lbw:e05000262,country:gb/country:eng/lbo:e09000013,Q56295556
Shepherd's Bush Green Ward,E05000263,country:gb/country:eng/lbo:e09000013/lbw:e05000263,country:gb/country:eng/lbo:e09000013,Q56295557
Town Ward,E05000264,country:gb/country:eng/lbo:e09000013/lbw:e05000264,country:gb/country:eng/lbo:e09000013,Q56295562
Wormholt and White City Ward,E05000265,country:gb/country:eng/lbo:e09000013/lbw:e05000265,country:gb/country:eng/lbo:e09000013,Q56295563
Alexandra Ward,E05000266,country:gb/country:eng/lbo:e09000014/lbw:e05000266,country:gb/country:eng/lbo:e09000014,Q56295568
Bounds Green Ward,E05000267,country:gb/country:eng/lbo:e09000014/lbw:e05000267,country:gb/country:eng/lbo:e09000014,Q56295577
Bruce Grove Ward,E05000268,country:gb/country:eng/lbo:e09000014/lbw:e05000268,country:gb/country:eng/lbo:e09000014,Q56295582
Crouch End Ward,E05000269,country:gb/country:eng/lbo:e09000014/lbw:e05000269,country:gb/country:eng/lbo:e09000014,Q56295584
Fortis Green Ward,E05000270,country:gb/country:eng/lbo:e09000014/lbw:e05000270,country:gb/country:eng/lbo:e09000014,Q56295588
Harringay Ward,E05000271,country:gb/country:eng/lbo:e09000014/lbw:e05000271,country:gb/country:eng/lbo:e09000014,Q56295590
Highgate Ward,E05000272,country:gb/country:eng/lbo:e09000014/lbw:e05000272,country:gb/country:eng/lbo:e09000014,Q55639885
Hornsey Ward,E05000273,country:gb/country:eng/lbo:e09000014/lbw:e05000273,country:gb/country:eng/lbo:e09000014,Q56295592
Muswell Hill Ward,E05000274,country:gb/country:eng/lbo:e09000014/lbw:e05000274,country:gb/country:eng/lbo:e09000014,Q56295596
Noel Park Ward,E05000275,country:gb/country:eng/lbo:e09000014/lbw:e05000275,country:gb/country:eng/lbo:e09000014,Q56295598
Northumberland Park Ward,E05000276,country:gb/country:eng/lbo:e09000014/lbw:e05000276,country:gb/country:eng/lbo:e09000014,Q56295599
St. Ann's Ward,E05000277,country:gb/country:eng/lbo:e09000014/lbw:e05000277,country:gb/country:eng/lbo:e09000014,Q56295615
Seven Sisters Ward,E05000278,country:gb/country:eng/lbo:e09000014/lbw:e05000278,country:gb/country:eng/lbo:e09000014,Q56295612
Stroud Green Ward,E05000279,country:gb/country:eng/lbo:e09000014/lbw:e05000279,country:gb/country:eng/lbo:e09000014,Q56295618
Tottenham Green Ward,E05000280,country:gb/country:eng/lbo:e09000014/lbw:e05000280,country:gb/country:eng/lbo:e09000014,Q7828446
Tottenham Hale Ward,E05000281,country:gb/country:eng/lbo:e09000014/lbw:e05000281,country:gb/country:eng/lbo:e09000014,Q56295620
West Green Ward,E05000282,country:gb/country:eng/lbo:e09000014/lbw:e05000282,country:gb/country:eng/lbo:e09000014,Q56295623
White Hart Lane Ward,E05000283,country:gb/country:eng/lbo:e09000014/lbw:e05000283,country:gb/country:eng/lbo:e09000014,Q56243388
Woodside Ward,E05000284,country:gb/country:eng/lbo:e09000014/lbw:e05000284,country:gb/country:eng/lbo:e09000014,Q56295626
Belmont Ward,E05000285,country:gb/country:eng/lbo:e09000015/lbw:e05000285,country:gb/country:eng/lbo:e09000015,Q56295628
Canons Ward,E05000286,country:gb/country:eng/lbo:e09000015/lbw:e05000286,country:gb/country:eng/lbo:e09000015,Q56295632
Edgware Ward,E05000287,country:gb/country:eng/lbo:e09000015/lbw:e05000287,country:gb/country:eng/lbo:e09000015,Q56295633
Greenhill Ward,E05000288,country:gb/country:eng/lbo:e09000015/lbw:e05000288,country:gb/country:eng/lbo:e09000015,Q56295644
Harrow on the Hill Ward,E05000289,country:gb/country:eng/lbo:e09000015/lbw:e05000289,country:gb/country:eng/lbo:e09000015,Q56295650
Harrow Weald Ward,E05000290,country:gb/country:eng/lbo:e09000015/lbw:e05000290,country:gb/country:eng/lbo:e09000015,Q56295648
Hatch End Ward,E05000291,country:gb/country:eng/lbo:e09000015/lbw:e05000291,country:gb/country:eng/lbo:e09000015,Q56295653
Headstone North Ward,E05000292,country:gb/country:eng/lbo:e09000015/lbw:e05000292,country:gb/country:eng/lbo:e09000015,Q56295655
Headstone South Ward,E05000293,country:gb/country:eng/lbo:e09000015/lbw:e05000293,country:gb/country:eng/lbo:e09000015,Q56295659
Kenton East Ward,E05000294,country:gb/country:eng/lbo:e09000015/lbw:e05000294,country:gb/country:eng/lbo:e09000015,Q56295661
Kenton West Ward,E05000295,country:gb/country:eng/lbo:e09000015/lbw:e05000295,country:gb/country:eng/lbo:e09000015,Q56295665
Marlborough Ward,E05000296,country:gb/country:eng/lbo:e09000015/lbw:e05000296,country:gb/country:eng/lbo:e09000015,Q56295667
Pinner Ward,E05000297,country:gb/country:eng/lbo:e09000015/lbw:e05000297,country:gb/country:eng/lbo:e09000015,Q56295682
Pinner South Ward,E05000298,country:gb/country:eng/lbo:e09000015/lbw:e05000298,country:gb/country:eng/lbo:e09000015,Q56295677
Queensbury Ward,E05000299,country:gb/country:eng/lbo:e09000015/lbw:e05000299,country:gb/country:eng/lbo:e09000015,Q56295685
Rayners Lane Ward,E05000300,country:gb/country:eng/lbo:e09000015/lbw:e05000300,country:gb/country:eng/lbo:e09000015,Q56295688
Roxbourne Ward,E05000301,country:gb/country:eng/lbo:e09000015/lbw:e05000301,country:gb/country:eng/lbo:e09000015,Q56295690
Roxeth Ward,E05000302,country:gb/country:eng/lbo:e09000015/lbw:e05000302,country:gb/country:eng/lbo:e09000015,Q56295692
Stanmore Park Ward,E05000303,country:gb/country:eng/lbo:e09000015/lbw:e05000303,country:gb/country:eng/lbo:e09000015,Q56295695
Wealdstone Ward,E05000304,country:gb/country:eng/lbo:e09000015/lbw:e05000304,country:gb/country:eng/lbo:e09000015,Q56295698
West Harrow Ward,E05000305,country:gb/country:eng/lbo:e09000015/lbw:e05000305,country:gb/country:eng/lbo:e09000015,Q56295701
Brooklands Ward,E05000306,country:gb/country:eng/lbo:e09000016/lbw:e05000306,country:gb/country:eng/lbo:e09000016,Q56295711
Cranham Ward,E05000307,country:gb/country:eng/lbo:e09000016/lbw:e05000307,country:gb/country:eng/lbo:e09000016,Q56295716
Elm Park Ward,E05000308,country:gb/country:eng/lbo:e09000016/lbw:e05000308,country:gb/country:eng/lbo:e09000016,Q56295718
Emerson Park Ward,E05000309,country:gb/country:eng/lbo:e09000016/lbw:e05000309,country:gb/country:eng/lbo:e09000016,Q56295722
Gooshays Ward,E05000310,country:gb/country:eng/lbo:e09000016/lbw:e05000310,country:gb/country:eng/lbo:e09000016,Q56295724
Hacton Ward,E05000311,country:gb/country:eng/lbo:e09000016/lbw:e05000311,country:gb/country:eng/lbo:e09000016,Q56295726
Harold Wood Ward,E05000312,country:gb/country:eng/lbo:e09000016/lbw:e05000312,country:gb/country:eng/lbo:e09000016,Q56295730
Havering Park Ward,E05000313,country:gb/country:eng/lbo:e09000016/lbw:e05000313,country:gb/country:eng/lbo:e09000016,Q56295731
Heaton Ward,E05000314,country:gb/country:eng/lbo:e09000016/lbw:e05000314,country:gb/country:eng/lbo:e09000016,Q56295734
Hylands Ward,E05000315,country:gb/country:eng/lbo:e09000016/lbw:e05000315,country:gb/country:eng/lbo:e09000016,Q56295745
Mawneys Ward,E05000316,country:gb/country:eng/lbo:e09000016/lbw:e05000316,country:gb/country:eng/lbo:e09000016,Q56295749
Pettits Ward,E05000317,country:gb/country:eng/lbo:e09000016/lbw:e05000317,country:gb/country:eng/lbo:e09000016,Q56295752
Rainham and Wennington Ward,E05000318,country:gb/country:eng/lbo:e09000016/lbw:e05000318,country:gb/country:eng/lbo:e09000016,Q56295755
Romford Town Ward,E05000319,country:gb/country:eng/lbo:e09000016/lbw:e05000319,country:gb/country:eng/lbo:e09000016,Q56295758
St. Andrew's Ward,E05000320,country:gb/country:eng/lbo:e09000016/lbw:e05000320,country:gb/country:eng/lbo:e09000016,Q17021059
South Hornchurch Ward,E05000321,country:gb/country:eng/lbo:e09000016/lbw:e05000321,country:gb/country:eng/lbo:e09000016,Q56295760
Squirrel's Heath Ward,E05000322,country:gb/country:eng/lbo:e09000016/lbw:e05000322,country:gb/country:eng/lbo:e09000016,Q56295762
Upminster Ward,E05000323,country:gb/country:eng/lbo:e09000016/lbw:e05000323,country:gb/country:eng/lbo:e09000016,Q56295766
Barnhill Ward,E05000324,country:gb/country:eng/lbo:e09000017/lbw:e05000324,country:gb/country:eng/lbo:e09000017,Q56295768
Botwell Ward,E05000325,country:gb/country:eng/lbo:e09000017/lbw:e05000325,country:gb/country:eng/lbo:e09000017,Q56295778
Brunel Ward,E05000326,country:gb/country:eng/lbo:e09000017/lbw:e05000326,country:gb/country:eng/lbo:e09000017,Q56295783
Cavendish Ward,E05000327,country:gb/country:eng/lbo:e09000017/lbw:e05000327,country:gb/country:eng/lbo:e09000017,Q56295785
Charville Ward,E05000328,country:gb/country:eng/lbo:e09000017/lbw:e05000328,country:gb/country:eng/lbo:e09000017,Q56295789
Eastcote and East Ruislip Ward,E05000329,country:gb/country:eng/lbo:e09000017/lbw:e05000329,country:gb/country:eng/lbo:e09000017,Q56295791
Harefield Ward,E05000330,country:gb/country:eng/lbo:e09000017/lbw:e05000330,country:gb/country:eng/lbo:e09000017,Q56295793
Heathrow Villages Ward,E05000331,country:gb/country:eng/lbo:e09000017/lbw:e05000331,country:gb/country:eng/lbo:e09000017,Q56295797
Hillingdon East Ward,E05000332,country:gb/country:eng/lbo:e09000017/lbw:e05000332,country:gb/country:eng/lbo:e09000017,Q56295798
Ickenham Ward,E05000333,country:gb/country:eng/lbo:e09000017/lbw:e05000333,country:gb/country:eng/lbo:e09000017,Q56295801
Manor Ward,E05000334,country:gb/country:eng/lbo:e09000017/lbw:e05000334,country:gb/country:eng/lbo:e09000017,Q56295812
Northwood Ward,E05000335,country:gb/country:eng/lbo:e09000017/lbw:e05000335,country:gb/country:eng/lbo:e09000017,Q56295819
Northwood Hills Ward,E05000336,country:gb/country:eng/lbo:e09000017/lbw:e05000336,country:gb/country:eng/lbo:e09000017,Q56295816
Pinkwell Ward,E05000337,country:gb/country:eng/lbo:e09000017/lbw:e05000337,country:gb/country:eng/lbo:e09000017,Q56295821
South Ruislip Ward,E05000338,country:gb/country:eng/lbo:e09000017/lbw:e05000338,country:gb/country:eng/lbo:e09000017,Q56295825
Townfield Ward,E05000339,country:gb/country:eng/lbo:e09000017/lbw:e05000339,country:gb/country:eng/lbo:e09000017,Q56295827
Uxbridge North Ward,E05000340,country:gb/country:eng/lbo:e09000017/lbw:e05000340,country:gb/country:eng/lbo:e09000017,Q56295830
Uxbridge South Ward,E05000341,country:gb/country:eng/lbo:e09000017/lbw:e05000341,country:gb/country:eng/lbo:e09000017,Q56295832
West Drayton Ward,E05000342,country:gb/country:eng/lbo:e09000017/lbw:e05000342,country:gb/country:eng/lbo:e09000017,Q56295834
West Ruislip Ward,E05000343,country:gb/country:eng/lbo:e09000017/lbw:e05000343,country:gb/country:eng/lbo:e09000017,Q56295845
Yeading Ward,E05000344,country:gb/country:eng/lbo:e09000017/lbw:e05000344,country:gb/country:eng/lbo:e09000017,Q56295849
Yiewsley Ward,E05000345,country:gb/country:eng/lbo:e09000017/lbw:e05000345,country:gb/country:eng/lbo:e09000017,Q56295853
Bedfont Ward,E05000346,country:gb/country:eng/lbo:e09000018/lbw:e05000346,country:gb/country:eng/lbo:e09000018,Q56295855
Brentford Ward,E05000347,country:gb/country:eng/lbo:e09000018/lbw:e05000347,country:gb/country:eng/lbo:e09000018,Q56295857
Chiswick Homefields Ward,E05000348,country:gb/country:eng/lbo:e09000018/lbw:e05000348,country:gb/country:eng/lbo:e09000018,Q56295861
Chiswick Riverside Ward,E05000349,country:gb/country:eng/lbo:e09000018/lbw:e05000349,country:gb/country:eng/lbo:e09000018,Q56295863
Cranford Ward,E05000350,country:gb/country:eng/lbo:e09000018/lbw:e05000350,country:gb/country:eng/lbo:e09000018,Q56295867
Feltham North Ward,E05000351,country:gb/country:eng/lbo:e09000018/lbw:e05000351,country:gb/country:eng/lbo:e09000018,Q56295868
Feltham West Ward,E05000352,country:gb/country:eng/lbo:e09000018/lbw:e05000352,country:gb/country:eng/lbo:e09000018,Q56295879
Hanworth Ward,E05000353,country:gb/country:eng/lbo:e09000018/lbw:e05000353,country:gb/country:eng/lbo:e09000018,Q56295887
Hanworth Park Ward,E05000354,country:gb/country:eng/lbo:e09000018/lbw:e05000354,country:gb/country:eng/lbo:e09000018,Q56295883
Heston Central Ward,E05000355,country:gb/country:eng/lbo:e09000018/lbw:e05000355,country:gb/country:eng/lbo:e09000018,Q56295888
Heston East Ward,E05000356,country:gb/country:eng/lbo:e09000018/lbw:e05000356,country:gb/country:eng/lbo:e09000018,Q56295892
Heston West Ward,E05000357,country:gb/country:eng/lbo:e09000018/lbw:e05000357,country:gb/country:eng/lbo:e09000018,Q56295893
Hounslow Central Ward,E05000358,country:gb/country:eng/lbo:e09000018/lbw:e05000358,country:gb/country:eng/lbo:e09000018,Q56295896
Hounslow Heath Ward,E05000359,country:gb/country:eng/lbo:e09000018/lbw:e05000359,country:gb/country:eng/lbo:e09000018,Q56295899
Hounslow South Ward,E05000360,country:gb/country:eng/lbo:e09000018/lbw:e05000360,country:gb/country:eng/lbo:e09000018,Q56295901
Hounslow West Ward,E05000361,country:gb/country:eng/lbo:e09000018/lbw:e05000361,country:gb/country:eng/lbo:e09000018,Q56295911
Isleworth Ward,E05000362,country:gb/country:eng/lbo:e09000018/lbw:e05000362,country:gb/country:eng/lbo:e09000018,Q56295915
Osterley and Spring Grove Ward,E05000363,country:gb/country:eng/lbo:e09000018/lbw:e05000363,country:gb/country:eng/lbo:e09000018,Q56295918
Syon Ward,E05000364,country:gb/country:eng/lbo:e09000018/lbw:e05000364,country:gb/country:eng/lbo:e09000018,Q56295919
Turnham Green Ward,E05000365,country:gb/country:eng/lbo:e09000018/lbw:e05000365,country:gb/country:eng/lbo:e09000018,Q56295920
Barnsbury Ward,E05000366,country:gb/country:eng/lbo:e09000019/lbw:e05000366,country:gb/country:eng/lbo:e09000019,Q56295921
Bunhill Ward,E05000367,country:gb/country:eng/lbo:e09000019/lbw:e05000367,country:gb/country:eng/lbo:e09000019,Q56295922
Caledonian Ward,E05000368,country:gb/country:eng/lbo:e09000019/lbw:e05000368,country:gb/country:eng/lbo:e09000019,Q56295923
Canonbury Ward,E05000369,country:gb/country:eng/lbo:e09000019/lbw:e05000369,country:gb/country:eng/lbo:e09000019,Q56295924
Clerkenwell Ward,E05000370,country:gb/country:eng/lbo:e09000019/lbw:e05000370,country:gb/country:eng/lbo:e09000019,Q56295925
Finsbury Park Ward,E05000371,country:gb/country:eng/lbo:e09000019/lbw:e05000371,country:gb/country:eng/lbo:e09000019,Q56295926
Highbury East Ward,E05000372,country:gb/country:eng/lbo:e09000019/lbw:e05000372,country:gb/country:eng/lbo:e09000019,Q56295927
Highbury West Ward,E05000373,country:gb/country:eng/lbo:e09000019/lbw:e05000373,country:gb/country:eng/lbo:e09000019,Q56295928
Hillrise Ward,E05000374,country:gb/country:eng/lbo:e09000019/lbw:e05000374,country:gb/country:eng/lbo:e09000019,Q28836898
Holloway Ward,E05000375,country:gb/country:eng/lbo:e09000019/lbw:e05000375,country:gb/country:eng/lbo:e09000019,Q5881794
Junction Ward,E05000376,country:gb/country:eng/lbo:e09000019/lbw:e05000376,country:gb/country:eng/lbo:e09000019,Q56295929
Mildmay Ward,E05000377,country:gb/country:eng/lbo:e09000019/lbw:e05000377,country:gb/country:eng/lbo:e09000019,Q56295930
St. George's Ward,E05000378,country:gb/country:eng/lbo:e09000019/lbw:e05000378,country:gb/country:eng/lbo:e09000019,Q56295931
St. Mary's Ward,E05000379,country:gb/country:eng/lbo:e09000019/lbw:e05000379,country:gb/country:eng/lbo:e09000019,Q56295932
St. Peter's Ward,E05000380,country:gb/country:eng/lbo:e09000019/lbw:e05000380,country:gb/country:eng/lbo:e09000019,Q56295933
Tollington Ward,E05000381,country:gb/country:eng/lbo:e09000019/lbw:e05000381,country:gb/country:eng/lbo:e09000019,Q7814410
Abingdon Ward,E05009388,country:gb/country:eng/lbo:e09000020/lbw:e05009388,country:gb/country:eng/lbo:e09000020,Q56295934
Brompton & Hans Town Ward,E05009389,country:gb/country:eng/lbo:e09000020/lbw:e05009389,country:gb/country:eng/lbo:e09000020,Q56295935
Campden Ward,E05009390,country:gb/country:eng/lbo:e09000020/lbw:e05009390,country:gb/country:eng/lbo:e09000020,Q56295936
Chelsea Riverside Ward,E05009391,country:gb/country:eng/lbo:e09000020/lbw:e05009391,country:gb/country:eng/lbo:e09000020,Q56295937
Colville Ward,E05009392,country:gb/country:eng/lbo:e09000020/lbw:e05009392,country:gb/country:eng/lbo:e09000020,Q56295938
Courtfield Ward,E05009393,country:gb/country:eng/lbo:e09000020/lbw:e05009393,country:gb/country:eng/lbo:e09000020,Q28938159
Dalgarno Ward,E05009394,country:gb/country:eng/lbo:e09000020/lbw:e05009394,country:gb/country:eng/lbo:e09000020,Q56295939
Earl's Court Ward,E05009395,country:gb/country:eng/lbo:e09000020/lbw:e05009395,country:gb/country:eng/lbo:e09000020,Q56295940
Golborne Ward,E05009396,country:gb/country:eng/lbo:e09000020/lbw:e05009396,country:gb/country:eng/lbo:e09000020,Q56295941
Holland Ward,E05009397,country:gb/country:eng/lbo:e09000020/lbw:e05009397,country:gb/country:eng/lbo:e09000020,Q56295942
Norland Ward,E05009398,country:gb/country:eng/lbo:e09000020/lbw:e05009398,country:gb/country:eng/lbo:e09000020,Q56295943
Notting Dale Ward,E05009399,country:gb/country:eng/lbo:e09000020/lbw:e05009399,country:gb/country:eng/lbo:e09000020,Q56295944
Pembridge Ward,E05009400,country:gb/country:eng/lbo:e09000020/lbw:e05009400,country:gb/country:eng/lbo:e09000020,Q56243412
Queen's Gate Ward,E05009401,country:gb/country:eng/lbo:e09000020/lbw:e05009401,country:gb/country:eng/lbo:e09000020,Q56295945
Redcliffe Ward,E05009402,country:gb/country:eng/lbo:e09000020/lbw:e05009402,country:gb/country:eng/lbo:e09000020,Q56295946
Royal Hospital Ward,E05009403,country:gb/country:eng/lbo:e09000020/lbw:e05009403,country:gb/country:eng/lbo:e09000020,Q56295947
St. Helen's Ward,E05009404,country:gb/country:eng/lbo:e09000020/lbw:e05009404,country:gb/country:eng/lbo:e09000020,Q56295948
Stanley Ward,E05009405,country:gb/country:eng/lbo:e09000020/lbw:e05009405,country:gb/country:eng/lbo:e09000020,Q56295949
Alexandra Ward,E05000400,country:gb/country:eng/lbo:e09000021/lbw:e05000400,country:gb/country:eng/lbo:e09000021,Q56295950
Berrylands Ward,E05000401,country:gb/country:eng/lbo:e09000021/lbw:e05000401,country:gb/country:eng/lbo:e09000021,Q56295951
Beverley Ward,E05000402,country:gb/country:eng/lbo:e09000021/lbw:e05000402,country:gb/country:eng/lbo:e09000021,Q56295952
Canbury Ward,E05000403,country:gb/country:eng/lbo:e09000021/lbw:e05000403,country:gb/country:eng/lbo:e09000021,Q56295953
Chessington North and Hook Ward,E05000404,country:gb/country:eng/lbo:e09000021/lbw:e05000404,country:gb/country:eng/lbo:e09000021,Q56295954
Chessington South Ward,E05000405,country:gb/country:eng/lbo:e09000021/lbw:e05000405,country:gb/country:eng/lbo:e09000021,Q56295955
Coombe Hill Ward,E05000406,country:gb/country:eng/lbo:e09000021/lbw:e05000406,country:gb/country:eng/lbo:e09000021,Q56295956
Coombe Vale Ward,E05000407,country:gb/country:eng/lbo:e09000021/lbw:e05000407,country:gb/country:eng/lbo:e09000021,Q56295957
Grove Ward,E05000408,country:gb/country:eng/lbo:e09000021/lbw:e05000408,country:gb/country:eng/lbo:e09000021,Q56295958
